event_type,job,task,machine,status,priority
TASK,6218406404,496,2596362793.0,1,0,1
TASK,3893898337,0,908319.0,1,9,2
TASK,6252709960,0,2107671737.0,1,2,3
TASK,6252709960,1,2507381619.0,1,2,4
TASK,6252709960,2,4802978415.0,1,2,5
TASK,6252709960,3,82756234.0,1,2,6
TASK,6252709960,4,3996081417.0,1,2,7
TASK,6252709960,5,3081583102.0,1,2,8
TASK,6252709960,6,4820238618.0,1,2,9
TASK,6252709960,7,1651219664.0,1,2,10
TASK,6252709960,8,27.0,1,2,11
TASK,6252700116,321,351634304.0,4,2,12
TASK,6252638420,17,1436344238.0,4,2,13
TASK,6252700116,25,428227302.0,4,2,14
TASK,6252708831,0,1436486817.0,4,2,15
TASK,6252638420,72,294772026.0,4,2,16
TASK,6252708833,0,1272487.0,4,0,17
TASK,6252708829,0,294995687.0,4,0,18
TASK,6221861800,5676,336026165.0,2,0,19
TASK,6252638420,1034,257333198.0,4,2,20
TASK,6252700851,1,1301873.0,4,2,21
TASK,6252638420,356,2644174581.0,4,2,22
TASK,6252705786,0,1301865.0,4,2,23
TASK,6221861800,5676,17503684.0,1,0,24
TASK,6252638420,962,1268206.0,4,2,25
TASK,6252638420,85,317488634.0,4,2,26
TASK,515042969,3,2596362793.0,1,0,27
TASK,515042969,9,2596362793.0,1,0,28
TASK,6252638420,873,956209140.0,4,2,29
TASK,6252700116,462,4156739964.0,4,2,30
TASK,515042969,23,17503756.0,1,0,31
TASK,515042969,25,38690821.0,1,0,32
TASK,6252700851,2,38649396.0,4,2,33
TASK,515042969,12,4302223220.0,1,0,34
TASK,515042969,15,4302223220.0,1,0,35
TASK,515042969,16,376271363.0,1,0,36
TASK,6252700851,8,1333840.0,4,2,37
TASK,6252638420,206,351636799.0,4,2,38
TASK,6252626850,1177,904811.0,2,0,39
TASK,4665891113,1079,904811.0,1,9,40
TASK,6252638420,372,599604.0,4,2,41
TASK,515042969,14,4105658221.0,1,0,42
TASK,6252626850,1177,4238697154.0,1,0,43
TASK,6218406404,454,38649400.0,2,0,,44
TASK,6218406404,60,2912464652.0,1,0,45
TASK,6252667650,11,4303309831.0,4,2,46
TASK,6252821895,70,3890170195.0,4,2,47
TASK,6252830512,45,431085148.0,4,2,48
TASK,6252830512,100,1734640.0,4,2,49
TASK,6252821895,76,352498669.0,4,2,50
TASK,6252830512,134,317469490.0,4,2,51
TASK,6252830512,162,317497354.0,4,2,52
TASK,6252830512,12,1272058.0,4,2,53
TASK,6252830512,89,3357722950.0,4,2,54
TASK,6252830512,91,1094911.0,4,2,55
TASK,6252821895,7,2817978775.0,4,2,56
TASK,6252821895,87,82755268.0,4,2,57
TASK,6252821895,42,6565039.0,4,2,58
TASK,6252667650,3,3895742914.0,4,2,59
TASK,6252830512,42,451253212.0,4,2,60
TASK,6252667650,12,84900328.0,4,2,61
TASK,6252667650,20,17503684.0,4,2,62
TASK,515042969,22,2912464652.0,1,0,63
TASK,515042969,25,1093155.0,1,0,64
TASK,6252830512,31,1479459266.0,4,2,65
TASK,6252821895,41,336068549.0,4,2,66
TASK,6252821895,54,4304030489.0,4,2,67
TASK,6252830512,112,226149974.0,4,2,68
TASK,6252830512,9,2851676.0,4,2,69
TASK,6252830512,18,1921913216.0,4,2,70
TASK,6252830512,150,63750860.0,4,2,71
TASK,6252821895,4,3376081322.0,4,2,72
TASK,6252830512,7,294949628.0,4,2,73
TASK,6252821895,46,1438281800.0,4,2,74
TASK,6252830512,44,353704085.0,4,2,75
TASK,6252830512,113,2107031993.0,4,2,76
TASK,6252830512,81,1093247.0,4,2,77
TASK,6252830512,47,6567848.0,4,2,78
TASK,6252830512,155,1436506145.0,4,2,79
TASK,6252830512,157,1336229729.0,4,2,80
TASK,6252830512,147,257333291.0,4,2,81
TASK,6252830512,145,2596104845.0,4,2,82
TASK,6252667650,4,501500969.0,4,2,83
TASK,6252830512,97,336023594.0,4,2,84
TASK,515042969,17,4303309831.0,1,0,85
TASK,6252830512,54,227099016.0,4,2,86
TASK,6252830512,20,451286136.0,4,2,87
